year,title,artist,song_id,lyric,genre
2000,초련(初戀) (Techno Mix) (Feat. 윤진),클론,91327,"
							난 그냥 좋았어 니 앞에만 서면 요즘 내가 왜 이러는지 나도 몰라 니 생각만 하고 자꾸 보고싶고 틈만 나면 난 너를 만나고 싶어 이런 맘 첨이야 누군가를 내가 주체하지 못할 만큼 좋아하는게 너와 약속하면 기분이 들떠 난 몇번씩 거울 앞을 서성이곤 해 길가다 멋진 옷을 볼때면 항상 언제나 너에게 다 사주고 싶고 사소한 악세사리까지 모두다 예쁜걸 보면 항상 너를 먼저 떠올려 바다가 보이는 분위기가 좋은 멋진 카페를 우연히 알게되도 제일 먼저 니 생각을 하면서 나는 빨리 너와 둘이서 다시 또 와봐야지 너에게 내가 아는 모든걸 해주고 파 말론 설명할수가 없어 내 눈엔 오직 너만 보여 내 자신 조차도 주체할 수 없는 이런 감정이 사랑인가봐 오레오레오 난 지금 웃고 있어 오레오레오 너만을 생각하며 오레오레오 언제나 니곁에서 오레오레오 너와 함께 할꺼야 난 너무 아쉬워 널 바래다줄땐 일부러 한 정거장 앞에서 내리지 너와 걷고 싶어 좀더 있고 싶어 이 밤이 깊어가는게 아쉬워서 집에 돌아오면 니 생각을 하며 어느새 난 또 너에게 전화를 걸어 할말도 없는데 이 얘기 저 얘기 몇 시간씩 또 너와 애길 나누지 햇살이 창가에 머무는 아침엔 눈뜨면 제일 먼저 널 생각하고 오늘은 널 만나 또 무엇을 할까 콧노랠 부르면서 즐겁게 샤워를 해 재미있는 영화를 보는게 더 날까 아니면 교외로 나가는게 날까 아니야 즐겁게 쇼핑을 즐기며 니가 깜짝 놀라게 선물을 사줘야지 숨겨둔 비상금을 모두 털어서라도 말론 설명할수가 없어 내 눈엔 오직 너만 보여 내 자신 조차도 주체할 수 없는 이런 감정이 사랑인가봐 오레오레오 난 지금 웃고 있어 오레오레오 너만을 생각하며 오레오레오 언제나 니곁에서 오레오레오 너와 함께 할꺼야  
					",댄스
2000,가시나무,조성모,607552,"
							내 속엔 내가 너무도 많아 당신의 쉴곳 없네 내 속엔 헛된 바램들로 당신의 편할곳 없네 내 속엔 내가 어쩔수 없는 어둠 당신의 쉴 자리를 뺏고 내 속엔 내가 이길수 없는 슬픔 무성한 가시나무 숲같네 바람만 불면 그 메마른 가지 서로 부대끼며 울어대고 쉴곳을 찾아 지쳐 날아온 어린 새들도 가시에 찔려 날아가고 바람만 불면 외롭고 또 괴로워 슬픈 노래를 부르던 날이 많았는데 내 속엔 내가 너무도 많아서 당신의 쉴곳 없네 바람만 불면 그 매마른 가지 서로 부대끼며 울어대고 쉴곳을 찾아 지쳐날아온 어린 새들도 가시에 찔려 날아가고 바람만 불면 외롭고 또 괴로워 슬픈 노래를 부르던 날이 많았는데 내 속엔 내가 너무도 많아서 당신의 쉴곳 없네 
					",발라드
2000,흔들린 우정,홍경민,87695,"
							아냐 이게 아닌데 왜 난 자꾸만 친구의 여자가 좋을까 이러면 안되지 하면서 왜 내맘속엔 온통 그녀 생각뿐일까 친구 몰래 걸려온 그녀의 전화가 난 왜 이리도 설레일까 냉정하게 거절하면 되는데 왜 난 그녀를 거절하지 못할까 정말 난 미치겠어 나도 나를 잘 모르겠어 오랜 친구와의 우정을 외면한 채 여자 땜에 흔들리는 게 너무나 괴로워 나만 포기하면 되는데 왜 난 고민할 가치도 없는 일을 이렇게 고민하고 있는지 미안해 내 친구야 잠시 너를 기만했던걸 지금까지 너에 대한 내 우정이 아직도 좀 모자란가봐 이해해줘 내 친구야 잠시 흔들렸던 우정을 누군가가 너와 나의 친구사일 질투해 시험했던거라 그렇게 생각해줘  뭐야 정말 이게 뭐야 왜 하필 난 친구의 여자가 좋을까 이러면 안되는줄 알면서 왜 항상 난 그녀에게 끌리는 걸까 친구와 그녀가 다퉜다는 얘길 듣고 왜 내가 웃는 걸까 말도 안돼는 상상을 하며 헛된 기댈 왜 난 자꾸하는것일까 정말 난 모르겠어 이런 내자신이 싫었어 내 욕심만 채우려 우정을 잠시 망각했던 내 자신이 싫었어 너무나 괴로워 마치 죄를 짓는 것 같아 이젠 모든걸다 잊고 난 친구 곁으로 돌아가야 하겠어 미안해 내 친구야 잠시 너를 기만했던걸 지금까지 너에 대한 내 우정이 아직도 좀 모자란가봐 이해해줘 내 친구야 잠시 흔들렸던 우정을 누군가가 너와 나의 친구사일 질투해 시험했던거라 그렇게 생각해줘   
					",댄스
2000,나의 연인(我戀),임창정,86668,"
							너를 알기 전에 나 어떻게 혼자 살아 왔을까 너 없는 세상 이렇게도 내게 눈물나는 행복 기다릴 줄은 몰랐어 너에게 모두 줄거야 너를 위한 건 무엇이든 제발 언제나 처음 내게 오던 날처럼 기쁨으로 내게 있어줘 이젠 나보다 너를 사랑한다는 그 말 모두 이해해 너무 사랑하니까 니가 웃음질때 난 더 크게 웃고 너 아플땐 난 더 아파 내 삶과 세상 모두가 밝게만 빛나 보여 힘든 하루도 너를 보면 견딜 수 있어 너에게는 웃는 나이길 내겐 아무도 없어 오직 너만이 나를 살게해 널 사랑한뒤 너를 느낄때 난 살아있어 너는 내 행복의 전부니까 제발 언제나 처음 내게 오던 날처럼 기쁨으로 내게 있어줘 이젠 나보다 너를 사랑한다는 그말 모두 이해해 너무 사랑하니까 제발 언제나 처음 내게 오던 날처럼 기쁨으로 내게 있어줘 이젠 나보다 너를 사랑한다는 그말 너에게 하고 싶어 너를 너무 사랑해 	
					",발라드
2000,영원,스카이,85674,"
							너와의 행복했었던또 아름다웠던 추억우연히 지나친그런 시간만은 아닐 꺼야BREAK DOWN이미 커져버린 내 빈자리의 주인은이 세상의 하나뿐인 너 바로 너항상 그래왔듯이 니가내게 다가오기만을 기다린 나니깐니가 없는 세상 속에서혼자 눈뜬 아침이 너무 눈 부셔이제껏 나 숨쉬고 있는 이유는 하나걸어온 길이 너무도쉽지 않았기 때문에내 사랑은 늘 그래왔듯이눈물만 남겨져나 가진 것이 많아야이룰 수 있는 건가봐이제 사는 법을 알겠어세상이 원하는 걸다시 내 삶을 돌려 널 만난다면널 잃지 않을거야기다릴게 나 언제라도저 하늘이 날 부를 때한없이 사랑했던 추억만은 가져갈게우리 다시 널 만난다면유혹뿐인 이 세상에나 처음 태어나서몰랐다고 말을 할게나 약속해기다릴게 나 언제라도저 하늘이 날 부를 때한없이 사랑했던 추억만은 가져갈게우리 다시 널 만난다면유혹뿐인 이 세상에나 처음 태어나서몰랐다고 말을 할게나 약속해
					","발라드, 록/메탈"
2000,멍,김현정,38426,"
							너 나를 쉽게 봤어 그렇지 않니 너는 몰라 너무 몰라 사랑을 안돼 니 맘대로 나를 떠날 수 없어 끝낸다면 내가 끝내 기억해 잘못이었어 너를 만난건 너는 사랑따윈 관심도 없던 거야 다만 넌 니 뜻대로 모두 맞춰줄 너 하나 밖에 모르는 내가 필요했을 뿐 다 돌려놔 너를 만나기전에 내 모습으로 추억으로 돌리기엔 내 상처가 너무커 바랄게 다음번에 너 누굴 사랑한다면 너 같은 사람 꼭 만나기를 잘못이었어 너를 믿은건 우린 하나라던 그건 다 말뿐이야 여러번 나를 속인 것도 모자라 니 주변의 사람들과 나를 비교 했었지 다 돌려놔 너를 만나기전에 내 모습으로 추억으로 돌리기엔 내 상처가 너무커 바랄게 다음번에 너 누굴 사랑한다면 너 같은 사람 꼭 만나기를 
					",댄스
2000,오! 가니,컨츄리 꼬꼬,4077,"
							오오 오오  우리 오다가다 만난사이  아니잖아  우리그냥 보통사이 아니잖아  그러면서 정이 들어버렸잖아  여기에서 포기하면 나는뭐야  사랑해 줄 시간은 아직많은데  벌써가면 이제 나는  어떡하라고 왜 가니 오 가니 오 가니 오 가니 오 가니정말 기가막힐 것 같아  나를 떠나려고 하다니  너밖에 모르는 난 어떻게  되는거야 오 가니  세상 모든 것이 변해도  우리 사랑변치 말자던 그 약속  넌 잊어버렸니  오가니 오가니  니가 원한것은 다 했어  하늘에 별도 따다줄만큼  니가 이제와서 싫다면  나는 어떡하라고오오  오가니가니 나를떠나가니  나를떠나 가다니  날 많이 많이 아주많이 많이  사랑해 주었잖아  다시 날 사랑해줘 다시 돌아와줘  진정 사랑했다면  영원히 너와 단 둘이 살고싶어 왜가 솔직히 잡기가 뭐해서  난 너에게 말하지 못했어  끝까지 너만을 믿는데  니 맘은 자꾸 멀어져  오 오  돌아와 달라고 말할때까지  널 기다리겠어  오가니 오가니  오가니 오가니  정주고 공들여 다바친  내 청춘 이젠 어떡하라고  사랑해 날 떠나가지마  오가니 오가니  니가 원한것은 다 했어  하늘에 별도 따다 줄 만큼  니가 이제와서 싫다면  나는 어떡하라고오오  오가니가니 나를떠나가니  나를 떠나 가다니  날 많이 많이 아주많이 많이  사랑해주었잖아  다시 날 사랑해줘 다시 돌아와줘  진정 사랑했다면  영원히 너와 단 둘이 살고싶어 다시 날 사랑해줘 다시 돌아와줘  진정 사랑했다면  영원히 너와 단 둘이 살고싶어  오가니 오가니  오가니 오가니 
					",댄스
2000,기도,정일영,27600,"
							혹시 나를 떠나려는 그대 맘이 힘든 나를 위해서 그런 이유인가요 하루만큼 멀어져도 괜찮아요 그대 어디 있어도 사랑인걸 믿어요 그땐 난 미처 몰랐죠 나를 보던 그대 눈빛 작은 그대 어깨조차도 안아줄 수 없던 내가 싫었죠 언제까지 슬픈 운명 우릴 갈라놓아도 또 다시 그대 맘을 울리지는 않을 거예요 어떤 것도 나의 그댈 대신할 수 없기에 이제는 그대보다 소중한 건내게 없단 걸 아나요나를 보며 웃는 그대 그 미소가내게 너무나 벅찬 그런 행복인걸요더 가까이 기대와도 괜찮아요그대 숨결 느끼는 지금 이 순간처럼그땐 난 미처 몰랐죠나를 보던 그대 눈빛작은 그대 어깨조차도안아줄 수 없던 내가 싫었죠언제까지 슬픈 운명 우릴 갈라놓아도또 다시 그대 맘을 울리지는 않을 거예요어떤 것도 나의 그댈 대신할 수 없기에이제는 그대보다 소중한 건내게 없단 걸 아나요언제까지나 여기 있어요작은 손길 닿는 곳에그대 사랑이 나를 불렀죠 그대 곁으로언제까지 슬픈 운명 우릴 갈라놓아도또 다시 그대 맘을 울리지는 않을 거예요어떤 것도 나의 그댈 대신할 수 없기에이제는 그대보다 소중한 건 내게 없단 걸
					","발라드, 국내드라마"
2000,기도,정일영,27600,"
							혹시 나를 떠나려는 그대 맘이 힘든 나를 위해서 그런 이유인가요 하루만큼 멀어져도 괜찮아요 그대 어디 있어도 사랑인걸 믿어요 그땐 난 미처 몰랐죠 나를 보던 그대 눈빛 작은 그대 어깨조차도 안아줄 수 없던 내가 싫었죠 언제까지 슬픈 운명 우릴 갈라놓아도 또 다시 그대 맘을 울리지는 않을 거예요 어떤 것도 나의 그댈 대신할 수 없기에 이제는 그대보다 소중한 건내게 없단 걸 아나요나를 보며 웃는 그대 그 미소가내게 너무나 벅찬 그런 행복인걸요더 가까이 기대와도 괜찮아요그대 숨결 느끼는 지금 이 순간처럼그땐 난 미처 몰랐죠나를 보던 그대 눈빛작은 그대 어깨조차도안아줄 수 없던 내가 싫었죠언제까지 슬픈 운명 우릴 갈라놓아도또 다시 그대 맘을 울리지는 않을 거예요어떤 것도 나의 그댈 대신할 수 없기에이제는 그대보다 소중한 건내게 없단 걸 아나요언제까지나 여기 있어요작은 손길 닿는 곳에그대 사랑이 나를 불렀죠 그대 곁으로언제까지 슬픈 운명 우릴 갈라놓아도또 다시 그대 맘을 울리지는 않을 거예요어떤 것도 나의 그댈 대신할 수 없기에이제는 그대보다 소중한 건 내게 없단 걸
					","발라드, 국내드라마"
2001,기도,정일영,27600,"
							혹시 나를 떠나려는 그대 맘이 힘든 나를 위해서 그런 이유인가요 하루만큼 멀어져도 괜찮아요 그대 어디 있어도 사랑인걸 믿어요 그땐 난 미처 몰랐죠 나를 보던 그대 눈빛 작은 그대 어깨조차도 안아줄 수 없던 내가 싫었죠 언제까지 슬픈 운명 우릴 갈라놓아도 또 다시 그대 맘을 울리지는 않을 거예요 어떤 것도 나의 그댈 대신할 수 없기에 이제는 그대보다 소중한 건내게 없단 걸 아나요나를 보며 웃는 그대 그 미소가내게 너무나 벅찬 그런 행복인걸요더 가까이 기대와도 괜찮아요그대 숨결 느끼는 지금 이 순간처럼그땐 난 미처 몰랐죠나를 보던 그대 눈빛작은 그대 어깨조차도안아줄 수 없던 내가 싫었죠언제까지 슬픈 운명 우릴 갈라놓아도또 다시 그대 맘을 울리지는 않을 거예요어떤 것도 나의 그댈 대신할 수 없기에이제는 그대보다 소중한 건내게 없단 걸 아나요언제까지나 여기 있어요작은 손길 닿는 곳에그대 사랑이 나를 불렀죠 그대 곁으로언제까지 슬픈 운명 우릴 갈라놓아도또 다시 그대 맘을 울리지는 않을 거예요어떤 것도 나의 그댈 대신할 수 없기에이제는 그대보다 소중한 건 내게 없단 걸
					","발라드, 국내드라마"
2001,기도,정일영,27600,"
							혹시 나를 떠나려는 그대 맘이 힘든 나를 위해서 그런 이유인가요 하루만큼 멀어져도 괜찮아요 그대 어디 있어도 사랑인걸 믿어요 그땐 난 미처 몰랐죠 나를 보던 그대 눈빛 작은 그대 어깨조차도 안아줄 수 없던 내가 싫었죠 언제까지 슬픈 운명 우릴 갈라놓아도 또 다시 그대 맘을 울리지는 않을 거예요 어떤 것도 나의 그댈 대신할 수 없기에 이제는 그대보다 소중한 건내게 없단 걸 아나요나를 보며 웃는 그대 그 미소가내게 너무나 벅찬 그런 행복인걸요더 가까이 기대와도 괜찮아요그대 숨결 느끼는 지금 이 순간처럼그땐 난 미처 몰랐죠나를 보던 그대 눈빛작은 그대 어깨조차도안아줄 수 없던 내가 싫었죠언제까지 슬픈 운명 우릴 갈라놓아도또 다시 그대 맘을 울리지는 않을 거예요어떤 것도 나의 그댈 대신할 수 없기에이제는 그대보다 소중한 건내게 없단 걸 아나요언제까지나 여기 있어요작은 손길 닿는 곳에그대 사랑이 나를 불렀죠 그대 곁으로언제까지 슬픈 운명 우릴 갈라놓아도또 다시 그대 맘을 울리지는 않을 거예요어떤 것도 나의 그댈 대신할 수 없기에이제는 그대보다 소중한 건 내게 없단 걸
					","발라드, 국내드라마"
2000,전설속의 누군가처럼,신승훈,46218,"
							거울 속의 그대 모습을 바라본적 있는가부끄럽지 않은 삶인가 뜨거운 눈물 흘려본 적 언젠가누굴 위해 살아왔는가 여긴 지금 어딘가어릴 적 그대의 꿈들은 그저 그대가 만든 소설이었나이젠 한번 생각해봐 그대 안에 다른 널 움츠리지 말고너의 날개를 너의 미래를 향해 날아보는 거야아주 작은 새의 몸짓도 이 세상 봄이 옴을 알게 하는데(Can you see a whole new world)부질없는 그대 몸짓은 그 누구에게도 느낄 수 없게 해(No one knows the way you feel)그대 아직 늦지 않았어 두 팔을 벌려 너의 날개를 펴고(You can soar and touch the sky)전설 속의 누군가처럼 그대의 미래를 향해 훨훨 날아봐이젠 한번 생각해봐 그대 안에 다른 널 움츠리지 말고너의 날개를 너의 미래를 향해 날아보는 거야아주 작은 새의 몸짓도 이 세상 봄이 옴을 알게 하는데(Can you see a whole new world)부질없는 그대 몸짓은 그 누구에게도 느낄 수 없게 해(No one knows the way you feel)그대 아직 늦지 않았어 두 팔을 벌려 너의 날개를 펴고(You can soar and touch the sky)전설 속의 누군가처럼 그대의 미래를 향해 훨훨 날아봐(We believe, we believe that you can fly)진흙 속에 피는 꽃들도 그 어느 꽃보다 더 향기로운데부질없는 그대 몸짓은 그 누구에게도 느낄 수 없게 해(No one knows the way you feel)그대 아직 늦지 않았어 두 팔을 벌려 너의 날개를 펴고(You can soar and touch the sky)전설 속의 누군가처럼 그대의 미래를 향해 훨훨 날아봐
					",발라드
